,Ranking,World Rank,University,Country,Impact Rank,Openness Rank,Excellence Rank,World Ranking,Continental Ranking,Country Rank,Impact,Openness,Excellence
279,280,5417,Ecole Nationale de Medecine Veterinaire de Sidi Thabet,Kenya,8577,8183,4954,5417,339,13,8577,8183,4954
280,281,5438,Sebha University /Sabha University,Ethiopia,12146,8183,4274,5438,340,6,12146,8183,4274
281,282,5452,Université de Jendouba,Tunisia,16673,8183,3369,5452,341,14,16673,8183,3369
282,283,5452,(3) Université de Carthage Ecole Polytechnique de Tunisie,Kenya,19670,6963,3592,5452,342,15,19670,6963,3592
283,284,5479,University of Sierra Leone,Sierra Leone,15212,7775,4133,5479,149,1,15212,7775,4133
284,285,5503,International University of Africa,Uganda,10096,6512,5527,5503,346,6,10096,6512,5527
285,286,5537,Botswana University of Agriculture and Natural Resources,Egypt,15402,3066,5362,5537,150,3,15402,3066,5362
286,287,5541,University of The Gambia,Tunisia,14852,5478,5062,5541,151,1,14852,5478,5062
287,288,5553,Federal University Lokoja Kogi State,South Africa,2401,2860,7237,5553,152,48,2401,2860,7237
288,289,5592,Université de Ahmed Zabana Relizane/ University of Relizane,Nigeria,23266,4137,3786,5592,348,41,23266,4137,3786
289,290,5612,University of Bahri (University of Juba Khartoum),Egypt,15954,5734,4930,5612,350,7,15954,5734,4930
290,291,5626,Université Mohammed VI des Sciences de la Santé,Egypt,14518,7564,4617,5626,352,21,14518,7564,4617
291,292,5646,Ecole Nationale d'Agriculture de Meknes,Ghana,11002,8183,4833,5646,354,22,11002,8183,4833
292,293,5652,Université de Lubumbashi,"Congo, the Democratic Republic of the",16945,6562,4585,5652,153,2,16945,6562,4585
293,294,5657,Joseph Ayo Babalola University,Nigeria,13068,5390,5457,5657,154,49,13068,5390,5457
294,295,5671,Africa University,Zimbabwe,6983,7306,5957,5671,155,7,6983,7306,5957
295,296,5682,Université de Gafsa,Tunisia,17370,8183,3576,5682,356,16,17370,8183,3576
296,297,5733,Catholic University of Eastern Africa,Kenya,6445,6415,6291,5733,156,10,6445,6415,6291
297,298,5739,Faculte des Sciences et Techniques de Tanger,Ethiopia,11966,8183,4762,5739,358,23,11966,8183,4762
298,299,5755,École Nationale Supérieure Vétérinaire d'Alger,Zimbabwe,17186,5926,4862,5755,360,42,17186,5926,4862
299,300,5776,Godfrey Okoye University,Nigeria,2536,4093,7237,5776,157,50,2536,4093,7237
300,301,5791,Modern Academy for Engineering and Technology,Sudan,17119,7005,4585,5791,361,50,17119,7005,4585
301,302,5810,École Nationale Supérieure Agronomique,Ghana,16623,4980,5188,5810,362,43,16623,4980,5188
302,303,5839,Université de Douala,Cameroon,19328,8183,3435,5839,158,6,19328,8183,3435
303,304,5851,Ghana Communication Technology University GCTU,Nigeria,14948,4617,5527,5851,159,9,14948,4617,5527
304,305,5859,Abia State University Uturu,South Africa,11457,3254,6156,5859,160,51,11457,3254,6156
305,306,5897,Université Catholique de Bukavu,"Congo, the Democratic Republic of the",18922,6547,4556,5897,161,3,18922,6547,4556
306,307,5901,Université de Kairouan,Tunisia,18179,8183,3772,5901,365,17,18179,8183,3772
307,308,5937,Libyan International Medical University,South Africa,10034,5926,6035,5937,368,7,10034,5926,6035
308,309,5941,Université de Khemis Miliana,Uganda,16554,3645,5527,5941,369,44,16554,3645,5527
309,310,5946,University of Elmergib,Zimbabwe,17842,3631,5362,5946,370,8,17842,3631,5362
310,311,5950,Université d'El Tarf (Centre Universitaire d'El Tarf),Uganda,17277,4472,5315,5950,371,45,17277,4472,5315
311,312,5956,(3) Université Moulay Ismail École Nationale Supérieure d'Arts et Métiers Meknès,Sudan,17924,8183,3895,5956,372,24,17924,8183,3895
312,313,5969,(3) Université Abdelmalek Essaadi École Nationale des Sciences Appliquées Tanger,Zimbabwe,14628,8183,4556,5969,373,25,14628,8183,4556
313,314,5993,Muranga University of Technology,Ethiopia,2954,4772,7237,5993,162,11,2954,4772,7237
314,315,5993,(3) Université Hassan I Settat Faculté des Sciences et Techniques de Settat,Egypt,17959,8183,3946,5993,375,26,17959,8183,3946
315,316,6013,École Nationale de l'Industrie Minerale,Tunisia,13732,7442,5270,6013,377,27,13732,7442,5270
316,317,6016,Université Dr Yahia Farès de Médéa,Kenya,15098,8183,4535,6016,378,46,15098,8183,4535
317,318,6023,SIMAD University Mogadishu,Kenya,11500,5847,5957,6023,379,1,11500,5847,5957
318,319,6025,United States International University,United States,3186,4623,7237,6025,163,12,3186,4623,7237
319,320,6044,(3) Université Hassan II Mohammedia École Normale Supérieure de l'Enseignement Technique Mohammedia,Egypt,14999,8183,4585,6044,380,28,14999,8183,4585
320,321,6052,Université de Bamenda,Cameroon,19573,8183,3697,6052,164,7,19573,8183,3697
321,322,6072,Ecole Nationale des Sciences Appliquees de Agadir,Sudan,17270,8183,4181,6072,382,29,17270,8183,4181
322,323,6083,(3) Université de Gabès École Nationale d'Ingénieur de Gabès,Zimbabwe,23443,7247,3576,6083,384,18,23443,7247,3576
323,324,6084,State University of Zanzibar,South Africa,2296,6429,7237,6084,165,9,2296,6429,7237
324,325,6112,Ashesi University,Ghana,6304,8183,6035,6112,166,10,6304,8183,6035
325,326,6132,Lupane State University,Zimbabwe,14970,6253,5527,6132,167,8,14970,6253,5527
326,327,6141,Daystar University,Kenya,9017,5292,6426,6141,168,13,9017,5292,6426
327,328,6171,Alzaiem Alazhari University,Ethiopia,18374,6160,5104,6171,389,8,18374,6160,5104
328,329,6179,University of Embu,Egypt,4353,3636,7237,6179,170,14,4353,3636,7237
329,330,6205,New Giza University,Uganda,15925,8183,4617,6205,390,51,15925,8183,4617
330,331,6213,University of Science & Technology Omdurman,Tunisia,3354,5455,7237,6213,391,9,3354,5455,7237
331,332,6221,Harare Institute Technology,Ethiopia,13579,6622,5709,6221,171,9,13579,6622,5709
332,333,6249,Kenya Methodist University,Kenya,1657,7799,7237,6249,172,15,1657,7799,7237
333,334,6257,Université de Béchar,South Africa,16010,8183,4655,6257,393,47,16010,8183,4655
334,335,6260,University of Eswatini,South Africa,11341,8183,5415,6260,173,1,11341,8183,5415
335,336,6260,Matrouh University,Uganda,23509,6315,4133,6260,394,52,23509,6315,4133
336,337,6305,Njala University Sierra Leone,South Africa,16528,5084,5641,6305,174,2,16528,5084,5641
337,338,6314,Mount Kenya University,Kenya,4317,4486,7237,6314,175,16,4317,4486,7237
338,339,6351,ESPRIT,Sudan,15057,6147,5709,6351,397,19,15057,6147,5709
339,340,6369,(1) Kebbi State University of Science and Technology KSUSTA,Nigeria,15387,7088,5457,6369,176,52,15387,7088,5457
340,341,6401,Tumaini University Makumira,Uganda,15068,8183,4991,6401,177,10,15068,8183,4991
341,342,6416,Skyline University Nigeria,Kenya,2616,7231,7237,6416,178,53,2616,7231,7237
342,343,6458,École Nationale Supérieure de l'Hydraulique de Blida,Sudan,16965,6001,5583,6458,402,48,16965,6001,5583
343,344,6476,Université de Parakou,Nigeria,17892,8183,4585,6476,179,2,17892,8183,4585
344,345,6482,Islamic University in Uganda,Uganda,12772,7564,5778,6482,180,9,12772,7564,5778
345,346,6519,Universite de Sousse,Egypt,29940,8183,1504,6519,405,20,29940,8183,1504
346,347,6530,Universidade Católica de Moçambique,Mozambique,10948,8183,5709,6530,181,2,10948,8183,5709
347,348,6541,Ecole Nationale Superieure d'Ingenieurs de Tunis,South Africa,22773,8183,3645,6541,407,21,22773,8183,3645
