,Ranking,World Rank,University,Country,Impact Rank,Openness Rank,Excellence Rank,World Ranking,Continental Ranking,Country Rank,Impact,Openness,Excellence
61,23,1173,Assiut University,Egypt,5088,805,635,1173,26,9,5088,805,635
11,24,1184,Addis Ababa University,Ethiopia,2435,1147,1137,1184,15,1,2435,1147,1137
62,25,1204,Al Azhar University,Egypt,6041,1189,514,1204,28,10,6041,1189,514
12,26,1293,University of Lagos,Nigeria,1895,1048,1629,1293,16,2,1895,1048,1629
63,27,1314,UniversitÃ© Cadi Ayyad Marrakech,Ethiopia,2987,1725,1131,1314,30,1,2987,1725,1131
13,28,1356,Tanta University,Egypt,6768,912,664,1356,31,11,6768,912,664
64,29,1375,Kwame Nkrumah University of Science & Technology,Sudan,3463,1012,1266,1375,17,2,3463,1012,1266
14,30,1381,University of Nigeria,Nigeria,3569,899,1285,1381,18,3,3569,899,1285
65,31,1402,University of Port Harcourt,Egypt,581,1496,3096,1402,19,4,581,1496,3096
15,32,1457,Covenant University Ota,Egypt,2902,1203,1536,1457,20,5,2902,1203,1536
66,33,1543,Obafemi Awolowo University,Tunisia,2341,1075,1965,1543,21,6,2341,1075,1965
16,34,1550,Université Mohammed V de Rabat,Ethiopia,6663,1179,871,1550,39,2,6663,1179,871
67,35,1575,Menoufia University,Egypt,8320,1135,689,1575,42,12,8320,1135,689
17,36,1582,Helwan University,Egypt,5484,1227,1103,1582,43,13,5484,1227,1103
68,37,1583,Kafr El Sheikh University,Sudan,7887,1171,747,1583,44,14,7887,1171,747
18,38,1626,Suez Canal University,Egypt,6287,1340,1005,1626,46,15,6287,1340,1005
69,39,1657,Cape Peninsula University of Technology,South Africa,1609,1740,2482,1657,22,11,1609,1740,2482
19,40,1685,Minia University,Egypt,7683,1403,872,1685,49,16,7683,1403,872
70,41,1689,North West University,Kenya,2032,8183,719,1689,23,12,2032,8183,719
20,42,1719,Egypt Japan University of Science & Technology,Nigeria,2009,2339,2246,1719,51,17,2009,2339,2246
71,43,1768,Tshwane University of Technology,South Africa,4835,1735,1475,1768,24,13,4835,1735,1475
21,44,1774,Durban University of Technology,South Africa,3406,1792,1885,1774,25,14,3406,1792,1885
72,45,1781,South Valley University,Egypt,5631,1517,1335,1781,54,18,5631,1517,1335
22,46,1854,Beni Suef University,Egypt,9521,1032,894,1854,57,19,9521,1032,894
73,47,1855,Arab Academy for Science & Technology and Maritime Transport,Uganda,4408,1707,1708,1855,58,20,4408,1707,1708
23,48,1869,University of Khartoum,Sudan,2906,1768,2250,1869,61,1,2906,1768,2250
74,49,1934,UniversitÃ© Hassan II de Casablanca,Ghana,9041,1561,965,1934,66,3,9041,1561,965
24,50,1938,Ladoke Akintola University of Technology,Nigeria,2226,1410,2781,1938,26,7,2226,1410,2781
75,51,1956,University of Cape Coast,Ghana,5006,1333,1835,1956,27,3,5006,1333,1835
25,52,1960,Ahmadu Bello University,Nigeria,4465,1222,2021,1960,28,8,4465,1222,2021
76,53,1973,University of Dar Es Salaam,"Tanzania, United Republic of",3341,1442,2401,1973,29,1,3341,1442,2401
26,54,2015,Université Sidi Mohammed Ben Abdellah Fes,Ghana,8076,1358,1287,2015,72,4,8076,1358,1287
77,55,2079,Federal University of Technology Akure,Uganda,6900,1201,1619,2079,30,9,6900,1201,1619
27,56,2085,British University in Egypt,Tunisia,5286,2537,1725,2085,73,21,5286,2537,1725
78,57,2114,Mohammed VI Polytechnic University,Ghana,7021,1666,1527,2114,77,5,7021,1666,1527
28,58,2133,Universidade Eduardo Mondlane,Mozambique,1170,5721,2950,2133,31,1,1170,5721,2950
79,59,2133,Kenyatta University,Kenya,2084,1494,3258,2133,32,2,2084,1494,3258
29,60,2139,University of Zimbabwe,Zimbabwe,4726,2026,2092,2139,33,1,4726,2026,2092
80,61,2179,Kampala International University,Uganda,1339,1838,3807,2179,34,2,1339,1838,3807
30,62,2185,Fayoum University,Egypt,8970,1777,1278,2185,79,22,8970,1777,1278
81,63,2228,Landmark University,Nigeria,5125,2157,2101,2228,35,10,5125,2157,2101
31,64,2229,Sudan University of Science & Technology,Sudan,1599,3124,3397,2229,82,2,1599,3124,3397
82,65,2287,Jimma University,Ethiopia,6047,2045,1979,2287,36,2,6047,2045,1979
32,66,2309,Bahir Dar University,Ethiopia,6428,2097,1927,2309,37,3,6428,2097,1927
83,67,2315,Federal University of Technology Minna,Nigeria,4357,1450,2682,2315,38,11,4357,1450,2682
33,68,2326,University of Fort Hare,South Africa,5267,1807,2344,2326,39,15,5267,1807,2344
84,69,2331,Aswan University,Ghana,10564,1957,1198,2331,89,23,10564,1957,1198
34,70,2379,University of Zambia,Zambia,4966,1609,2577,2379,40,1,4966,1609,2577
85,71,2405,UniversitÃ© Ibn Tofail KÃ©nitra,Nigeria,9491,2019,1425,2405,93,6,9491,2019,1425
35,72,2419,Université des Frères Mentouri Constantine 1 (Ex Université Mentouri),Ethiopia,5505,1355,2561,2419,94,1,5505,1355,2561
86,73,2439,UniversitÃ© des Sciences et de la Technologie Houari Boumediene,Kenya,7874,1498,1944,2439,95,2,7874,1498,1944
36,74,2461,Université Abou Bekr Belkaid Tlemcen,Tunisia,5372,2134,2482,2461,96,3,5372,2134,2482
87,75,2464,University of Mauritius,Mauritius,5649,2241,2373,2464,41,1,5649,2241,2373
37,76,2472,Jomo Kenyatta University of Agriculture and Technology,Kenya,4600,1509,2898,2472,42,3,4600,1509,2898
88,77,2484,University for Development Studies,Ghana,6064,2022,2369,2484,43,4,6064,2022,2369
38,78,2498,Université Moulay Ismail Meknès,Morocco,8991,2079,1671,2498,101,7,8991,2079,1671
89,79,2502,UniversitÃ© Ibnou Zohr d'Agadir,Tunisia,8734,1803,1793,2502,102,8,8734,1803,1793
39,80,2522,Bayero University Kano,Nigeria,8240,1597,1976,2522,44,12,8240,1597,1976
90,81,2526,Nnamdi Azikiwe University,Nigeria,7074,1326,2330,2526,45,13,7074,1326,2330
40,82,2542,Université Cheikh Anta Diop de Dakar,Nigeria,1092,8183,2601,2542,46,1,1092,8183,2601
91,83,2591,University of Rwanda,Egypt,4977,3702,2497,2591,47,1,4977,3702,2497
41,84,2601,Adekunle Ajasin University,Nigeria,2281,2800,3747,2601,48,14,2281,2800,3747
92,85,2605,Egerton University,Kenya,2339,2858,3715,2605,49,4,2339,2858,3715
42,86,2618,Port Said University,Tunisia,10110,1855,1674,2618,106,24,10110,1855,1674
93,87,2635,UniversitÃ© Amar Telidji de Laghouat,South Africa,3817,2539,3191,2635,108,4,3817,2539,3191
43,88,2655,Moi University,Kenya,4417,1880,3168,2655,50,5,4417,1880,3168
94,89,2680,University of Limpopo,South Africa,5867,2189,2720,2680,51,16,5867,2189,2720
44,90,2700,University of Calabar,Nigeria,8075,1235,2440,2700,52,15,8075,1235,2440
95,91,2708,Sokoine University of Agriculture,"Tanzania, United Republic of",5461,1309,3120,2708,53,2,5461,1309,3120
45,92,2714,University of Gondar,Egypt,9636,2251,1850,2714,54,4,9636,2251,1850
96,93,2728,UniversitÃ© Mohamed Khider Biskra,Tunisia,6973,1832,2588,2728,112,5,6973,1832,2588
46,94,2731,University of Botswana,Botswana,4866,4114,2701,2731,55,1,4866,4114,2701
97,95,2735,UniversitÃ© de Sfax,Zimbabwe,7159,8183,865,2735,113,1,7159,8183,865
47,96,2739,Mekelle University,Ethiopia,9218,2104,2004,2739,56,5,9218,2104,2004
98,97,2779,University Ferhat Abbas Setif,Ghana,8880,1703,2241,2779,116,6,8880,1703,2241
48,98,2793,German University in Cairo,Egypt,6028,2261,2842,2793,117,25,6028,2261,2842
99,99,2805,UniversitÃ© 08 Mai 1945 Guelma,Nigeria,6388,2184,2776,2805,118,7,6388,2184,2776
49,100,2805,Damietta University,Egypt,10666,1726,1905,2805,119,26,10666,1726,1905
100,101,2828,Nelson Mandela University,South Africa,3792,8183,1662,2828,57,17,3792,8183,1662
101,102,2828,Olabisi Onabanjo University (Ogun State University),Uganda,3967,1854,3680,2828,58,16,3967,1854,3680
102,103,2882,Djillali Liabes university of Sidi Bel Abbes,South Africa,9975,2235,2059,2882,123,8,9975,2235,2059
103,104,2901,University of Venda,South Africa,6572,2341,2880,2901,59,18,6572,2341,2880
104,105,2913,University of Benin,Nigeria,6903,1426,3056,2913,60,17,6903,1426,3056
105,106,2947,Federal University Oye Ekiti Ekiti State,Egypt,4322,1963,3786,2947,61,18,4322,1963,3786
106,107,2975,Université Kasdi Merbah Ouargla,Algeria,6301,2435,3104,2975,127,9,6301,2435,3104
107,108,3018,Federal University of Agriculture Abeokuta,Nigeria,8590,1399,2838,3018,62,19,8590,1399,2838
108,109,3038,Université de Dschang,Cameroon,10318,2578,2222,3038,63,1,10318,2578,2222
109,110,3041,Sefako Makgatho Health Sciences University,South Africa,9273,3373,2270,3041,64,19,9273,3373,2270
110,111,3042,University of Ilorin,Nigeria,5642,8183,1522,3042,65,20,5642,8183,1522
111,112,3048,Université Chouaib Eddoukali,Ethiopia,9925,2541,2315,3048,130,9,9925,2541,2315
112,113,3056,Université Badji Mokhtar de Annaba,Zimbabwe,11022,2092,2193,3056,131,10,11022,2092,2193
113,114,3059,Hawassa University (Debub University),Kenya,10058,3096,2193,3059,66,6,10058,3096,2193
114,115,3073,Université de Tébessa,Sudan,6700,2873,3035,3073,132,11,6700,2873,3035
115,116,3085,Mbarara University of Science and Technology,Uganda,6237,3309,3096,3085,67,3,6237,3309,3096
116,117,3097,Sohag University,Egypt,6747,8183,1345,3097,134,27,6747,8183,1345
117,118,3100,Nile University,Egypt,8344,3391,2561,3100,135,28,8344,3391,2561
118,119,3100,Zewail City of Science and Technology,Nigeria,11070,2859,2072,3100,136,29,11070,2859,2072
119,120,3136,Muhimbili University of Health and Allied Sciences,Nigeria,7781,2512,2919,3136,68,3,7781,2512,2919
120,121,3156,University of Zululand,South Africa,7369,3080,2936,3156,69,20,7369,3080,2936
121,122,3159,Namibia University of Science and Technology (Polytechnic of Namibia),South Africa,4561,3347,3747,3159,70,1,4561,3347,3747
122,123,3196,Lagos State University,Nigeria,6895,2075,3389,3196,71,21,6895,2075,3389
123,124,3206,Université d'Abomey Calavi,Sudan,8878,2904,2701,3206,72,1,8878,2904,2701
124,125,3219,Botswana International University of Science & Technology,Botswana,9228,2564,2741,3219,73,2,9228,2564,2741
125,126,3222,Haramaya University (Alemaya),Egypt,10049,2987,2474,3222,74,7,10049,2987,2474
126,127,3229,Université de Tunis El Manar,Tunisia,9793,8183,1015,3229,146,2,9793,8183,1015
127,128,3229,Vaal University of Technology,South Africa,5863,3652,3409,3229,75,21,5863,3652,3409
128,129,3232,Ekiti State University Ado Ekiti (University of Ado Ekiti),South Africa,6329,1733,3715,3232,76,22,6329,1733,3715
129,130,3257,Institution de la Recherche et de l'Enseignement Supérieur Agricoles,Zimbabwe,8210,3551,2824,3257,150,3,8210,3551,2824
130,131,3281,Federal University of Technology Owerri,Ethiopia,7630,1738,3422,3281,77,23,7630,1738,3422
131,132,3298,University of Benghazi (University of Garyounis),Zimbabwe,5641,2278,3863,3298,152,1,5641,2278,3863
132,133,3308,Pharos University in Alexandria,Tunisia,6196,3307,3496,3308,153,30,6196,3307,3496
133,134,3359,MISR University for Science & Technology,Kenya,7582,2830,3281,3359,157,31,7582,2830,3281
134,135,3372,Université M'Hamed Bougara de Boumerdes,Ethiopia,11170,2067,2647,3372,158,12,11170,2067,2647
135,136,3374,University of Sadat City,Kenya,11609,2087,2561,3374,159,32,11609,2087,2561
136,137,3378,Delta University for Science & Technology,Uganda,11850,3269,2275,3378,160,33,11850,3269,2275
137,138,3395,University of Uyo,Nigeria,8684,1659,3369,3395,78,24,8684,1659,3369
138,139,3403,Université de M'Sila,Sudan,2806,8183,2976,3403,161,13,2806,8183,2976
139,140,3410,University of Jos,Nigeria,7194,1583,3786,3410,79,25,7194,1583,3786
140,141,3410,Université Sultan Moulay Slimane Beni Mellal,Kenya,9379,5785,2285,3410,162,10,9379,5785,2285
141,142,3423,Central University of Technology,South Africa,6551,3387,3549,3423,80,22,6551,3387,3549
142,143,3441,Al Akhawayn University Ifrane,Ghana,3957,3654,4303,3441,166,11,3957,3654,4303
143,144,3448,Ghana Institute of Management and Public Administration,Ethiopia,6620,3723,3496,3448,81,5,6620,3723,3496
144,145,3479,Université Abdelhamid Ibn Badis Mostaganem,Ghana,6252,2280,3973,3479,169,14,6252,2280,3973
145,146,3493,Université des Sciences et de la Technologie d'Oran Mohamed Boudiaf,Zimbabwe,10554,2424,2891,3493,171,15,10554,2424,2891
146,147,3511,October University for Modern Sciences and Arts MSA,Uganda,9842,2847,2976,3511,172,34,9842,2847,2976
147,148,3519,University of Education Winneba,Sudan,7802,3087,3445,3519,82,6,7802,3087,3445
148,149,3525,University of Buea,Ethiopia,10176,2415,3020,3525,83,2,10176,2415,3020
149,150,3527,Federal University Dutse Jigawa State,Tunisia,11776,3180,2534,3527,84,26,11776,3180,2534
150,151,3541,Damanhour University,Egypt,10488,7743,1550,3541,175,35,10488,7743,1550
151,152,3545,Université Internationale de Rabat,Nigeria,8754,3427,3168,3545,176,12,8754,3427,3168
152,153,3556,Maseno University,Kenya,5381,2172,4372,3556,85,6,5381,2172,4372
153,154,3574,Université de Monastir,Tunisia,11301,8183,1167,3574,178,4,11301,8183,1167
154,155,3576,Kwara State University,Nigeria,6198,2726,4066,3576,86,27,6198,2726,4066
155,156,3579,Walter Sisulu University,Sudan,7357,3223,3645,3579,87,23,7357,3223,3645
156,157,3606,Université Mohammed Premier Oujda,Morocco,9323,8183,1504,3606,180,13,9323,8183,1504
157,158,3614,Strathmore University Nairobi,Ghana,2732,4324,4900,3614,88,7,2732,4324,4900
158,159,3646,Université de Carthage (7 de Novembre),Zimbabwe,11593,8183,1220,3646,184,5,11593,8183,1220
159,160,3652,Arba Minch University,Ethiopia,12198,3324,2643,3652,89,8,12198,3324,2643
160,161,3662,Université Hassiba Benbouali de Chlef,Zimbabwe,10253,2605,3232,3662,187,16,10253,2605,3232
161,162,3689,Usmanu Danfodiyo University,Zimbabwe,10172,1919,3457,3689,90,28,10172,1919,3457
162,163,3689,University of Malawi,Malawi,11218,6100,2280,3689,91,1,11218,6100,2280
163,164,3707,Midlands State University,Zimbabwe,5994,3194,4229,3707,92,2,5994,3194,4229
164,165,3720,Université Saad Dahlab Blida,Nigeria,11108,2952,3056,3720,189,17,11108,2952,3056
165,166,3729,University of Namibia,Namibia,4666,8183,2871,3729,93,2,4666,8183,2871
166,167,3789,University of Abuja,Nigeria,8297,1893,4066,3789,94,29,8297,1893,4066
167,168,3789,Ecole Mohammadia d'Ingenieurs,Egypt,9560,4189,3258,3789,194,14,9560,4189,3258
168,169,3792,Université Abdelmalek Essaadi,Sudan,8099,8183,2025,3792,195,15,8099,8183,2025
169,170,3799,Université de Skikda,Algeria,12006,2875,3020,3799,196,18,12006,2875,3020
170,171,3812,(3) Université de Tunis el Manar Ecole Nationale d'Ingénieurs de Tunis,Tunisia,13812,4034,2428,3812,197,6,13812,4034,2428
171,172,3855,Université Larbi Ben Mhidi de Oum El Bouaghi,Zimbabwe,10994,2617,3422,3855,202,19,10994,2617,3422
172,173,3866,Technical University of Kenya,Kenya,6477,2843,4423,3866,95,8,6477,2843,4423
173,174,3869,University of Tripoli (Al Fateh University),Egypt,12629,1797,3269,3869,204,2,12629,1797,3269
174,175,3915,MISR International University,Uganda,9815,3538,3562,3915,210,36,9815,3538,3562
175,176,3964,October 6 University,Nigeria,10658,2742,3630,3964,212,37,10658,2742,3630
176,177,4010,Delta State University Nigeria,Zimbabwe,9324,1831,4202,4010,96,30,9324,1831,4202
177,178,4040,Université Ibn Khaldoun Tiaret,South Africa,13684,2912,3064,4040,215,20,13684,2912,3064
178,179,4048,Université de Mascara,Nigeria,14910,2610,2898,4048,217,21,14910,2610,2898
179,180,4083,Copperbelt University,Zambia,10958,3933,3549,4083,97,2,10958,3933,3549
180,181,4090,University of Dodoma,"Tanzania, United Republic of",10113,2872,3973,4090,98,4,10113,2872,3973
181,182,4102,Osun State University,Nigeria,10183,2128,4114,4102,99,31,10183,2128,4114
182,183,4114,Université de Batna 2,Kenya,14176,2433,3232,4114,219,22,14176,2433,3232
183,184,4131,Université de Ngaoundéré,Cameroon,11715,5168,3191,4131,100,3,11715,5168,3191
184,185,4145,École Nationale Polytechnique d'Alger,Ethiopia,12564,3185,3496,4145,221,23,12564,3185,3496
185,186,4154,Ebonyi State University,Nigeria,11575,2115,3946,4154,101,32,11575,2115,3946
186,187,4171,Federal University of Petroleum Resources Effurun,Uganda,9742,3542,4066,4171,102,33,9742,3542,4066
187,188,4172,Nahda University,Kenya,13043,4268,3180,4172,223,38,13043,4268,3180
188,189,4180,Kyambogo University,Uganda,8646,3961,4229,4180,103,4,8646,3961,4229
189,190,4185,Université de Bouira,Ghana,8386,3091,4479,4185,224,24,8386,3091,4479
190,191,4185,Université d'Oran 1 Ahmed Ben Bella,Zimbabwe,7024,8183,2988,4185,225,25,7024,8183,2988
191,192,4188,Misurata University (Misrata University),Sudan,10571,3826,3863,4188,226,3,10571,3826,3863
192,193,4256,Gezira University,Uganda,12444,3470,3661,4256,231,3,12444,3470,3661
193,194,4265,Université de Bejaia,Kenya,8608,8183,2745,4265,232,26,8608,8183,2745
194,195,4329,Université de Yaounde I,Kenya,15842,7939,1674,4329,104,4,15842,7939,1674
195,196,4329,Université de Tunis,Tunisia,12083,8183,2122,4329,235,7,12083,8183,2122
196,197,4362,University of Maroua,Zimbabwe,13678,5672,3096,4362,105,5,13678,5672,3096
197,198,4369,Higher Technological Institute,Egypt,12925,5369,3369,4369,237,39,12925,5369,3369
198,199,4395,Omar Al Mukhtar University,Uganda,7293,3242,5031,4395,239,4,7293,3242,5031
199,200,4403,Gulu University,Uganda,11573,4475,3912,4403,106,5,11573,4475,3912
200,201,4426,Badr University in Cairo,Egypt,13348,4821,3496,4426,242,40,13348,4821,3496
201,202,4436,National University of Science & Technology,Kenya,9895,3095,4585,4436,107,3,9895,3095,4585
202,203,4462,Université Ziane Achour de Djelfa,Nigeria,5078,8183,4100,4462,243,27,5078,8183,4100
203,204,4473,Université de la Manouba,Tunisia,13548,8183,2092,4473,245,8,13548,8183,2092
204,205,4486,Université Félix Houphouët Boigny (Université de Cocody Abidjan),Uganda,11572,6504,3533,4486,108,1,11572,6504,3533
205,206,4513,University of Mines & Technology Tarkwa,Ghana,10852,4052,4327,4513,109,7,10852,4052,4327
206,207,4536,Université de Lomé,Togo,10749,5962,3946,4536,110,1,10749,5962,3946
207,208,4540,Egyptian Russian University,Nigeria,15067,3843,3533,4540,250,41,15067,3843,3533
208,209,4554,École National Supérieure de l'Informatique (ex-INI),Sudan,12365,3795,4133,4554,251,28,12365,3795,4133
209,210,4558,Military Technical College,Egypt,15592,3755,3473,4558,252,42,15592,3755,3473
210,211,4563,Université de Kinshasa,"Congo, the Democratic Republic of the",17907,3448,3056,4563,111,1,17907,3448,3056
211,212,4568,Suez University,Ghana,24399,4033,1567,4568,253,43,24399,4033,1567
212,213,4602,Heliopolis University (Sekem University),Ghana,12485,5873,3747,4602,259,44,12485,5873,3747
213,214,4603,Sinai University,Egypt,14577,4032,3734,4603,260,45,14577,4032,3734
214,215,4627,Université Taher Moulay de Saida,Ethiopia,13277,3438,4160,4627,261,29,13277,3438,4160
215,216,4631,Busitema University,Uganda,13573,3955,4016,4631,112,6,13573,3955,4016
216,217,4639,Debre Markos University,Ethiopia,17622,3987,3148,4639,113,9,17622,3987,3148
217,218,4648,Université d'Antananarivo,Madagascar,9286,8183,3311,4648,114,1,9286,8183,3311
218,219,4650,(3) Université Hassan II Mohammedia Faculté des Sciences et Techniques Mohammadia,Ethiopia,16679,4250,3329,4650,262,16,16679,4250,3329
219,220,4671,Université Hassan I Settat,South Africa,11111,8183,2941,4671,265,17,11111,8183,2941
