Date,Open,High,Low,Close,Adj Close,Volume
2022-11-07,957.000000,967.010010,914.859985,940.780029,940.780029,680600
2022-11-08,946.130005,957.520020,909.770020,937.080017,937.080017,556400
2022-11-09,921.200012,934.500000,896.070007,897.619995,897.619995,569500
2022-11-10,964.450012,1006.179993,922.880005,935.530029,935.530029,1263500
2022-11-11,943.330017,989.020020,932.859985,974.890015,974.890015,838900
2022-11-14,966.159973,982.739990,950.299988,959.580017,959.580017,509000
2022-11-15,1009.739990,1039.390015,995.549988,1020.679993,1020.679993,711500
2022-11-16,988.000000,1004.000000,964.090027,972.820007,972.820007,690500
2022-11-17,940.000000,949.989990,910.840027,927.130005,927.130005,720300
2022-11-18,944.419983,966.690002,936.000000,962.080017,962.080017,636100
2022-11-21,948.450012,968.150024,944.609985,963.030029,963.030029,293100
2022-11-22,961.000000,963.500000,915.799988,957.159973,957.159973,431900
2022-11-23,967.000000,975.460022,945.630005,962.429993,962.429993,387200
2022-11-25,957.989990,957.989990,946.479980,951.570007,951.570007,178900
2022-11-28,941.099976,956.690002,920.849976,921.340027,921.340027,505600
2022-11-29,927.200012,927.960022,882.099976,889.260010,889.260010,688800
2022-11-30,893.650024,934.169983,879.109985,930.989990,930.989990,838100
2022-12-01,936.760010,955.000000,921.679993,941.010010,941.010010,502200
2022-12-02,920.010010,957.000000,912.000000,945.070007,945.070007,485800
2022-12-05,933.190002,935.940002,876.940002,881.900024,881.900024,597100
2022-12-06,891.369995,893.859985,852.000000,863.090027,863.090027,414000
2022-12-07,855.619995,880.460022,845.020020,863.809998,863.809998,587700
2022-12-08,872.000000,903.919983,865.039978,884.239990,884.239990,433400
2022-12-09,878.369995,908.250000,872.059998,896.479980,896.479980,409500
2022-12-12,885.280029,894.369995,868.500000,880.250000,880.250000,518100
2022-12-13,931.479980,942.090027,867.299988,870.650024,870.650024,880500
2022-12-14,864.059998,887.989990,855.000000,867.299988,867.299988,579600
2022-12-15,852.070007,854.900024,818.219971,835.090027,835.090027,652100
2022-12-16,830.000000,849.609985,825.000000,843.979980,843.979980,731000
2022-12-19,844.239990,895.799988,843.520020,884.270020,884.270020,723800
2022-12-20,881.179993,907.080017,874.869995,875.909973,875.909973,540300
2022-12-21,877.580017,908.989990,873.000000,900.099976,900.099976,409900
2022-12-22,882.969971,885.390015,863.469971,873.260010,873.260010,470100
2022-12-23,864.299988,879.729980,853.080017,878.320007,878.320007,288100
2022-12-27,872.989990,874.380005,848.130005,854.299988,854.299988,294000
2022-12-28,856.440002,867.989990,838.250000,839.570007,839.570007,475300
2022-12-29,849.469971,874.080017,838.049988,866.280029,866.280029,443900
2022-12-30,846.809998,851.059998,830.010010,846.239990,846.239990,365600
2023-01-03,867.580017,874.059998,815.859985,826.109985,826.109985,775500
2023-01-04,842.000000,849.289978,821.979980,837.440002,837.440002,404900
2023-01-05,827.869995,859.960022,818.010010,856.090027,856.090027,415200
2023-01-06,856.090027,879.419983,847.010010,873.469971,873.469971,343000
2023-01-09,891.260010,920.000000,882.000000,897.309998,897.309998,451800
2023-01-10,897.000000,919.190002,896.309998,915.780029,915.780029,270200
2023-01-11,928.289978,936.890015,911.099976,936.799988,936.799988,466100
2023-01-12,983.000000,1033.790039,933.570007,1024.310059,1024.310059,1132200
2023-01-13,1011.150024,1091.849976,1011.000000,1082.920044,1082.920044,1237100
2023-01-17,1081.270020,1089.000000,1046.859985,1070.000000,1070.000000,593800
2023-01-18,1082.119995,1108.599976,1049.859985,1068.920044,1068.920044,794400
2023-01-19,1045.369995,1085.000000,1040.469971,1072.739990,1072.739990,769400
2023-01-20,1076.650024,1101.890015,1072.550049,1098.089966,1098.089966,504700
2023-01-23,1097.670044,1121.619995,1090.540039,1095.000000,1095.000000,582100
2023-01-24,1079.229980,1113.939941,1074.060059,1109.910034,1109.910034,441000
2023-01-25,1080.000000,1133.680054,1073.160034,1130.640015,1130.640015,475600
2023-01-26,1151.310059,1190.930054,1151.310059,1188.579956,1188.579956,826200
2023-01-27,1187.349976,1233.280029,1183.000000,1221.270020,1221.270020,702500
2023-01-30,1190.619995,1210.250000,1160.609985,1161.800049,1161.800049,758700
2023-01-31,1170.010010,1183.180054,1153.010010,1181.689941,1181.689941,496700
2023-02-01,1180.000000,1222.000000,1152.479980,1214.290039,1214.290039,603300
2023-02-02,1235.920044,1250.479980,1201.780029,1226.579956,1226.579956,653900
2023-02-03,1175.699951,1223.540039,1161.880005,1187.250000,1187.250000,556400
2023-02-06,1168.699951,1188.790039,1158.880005,1175.439941,1175.439941,486600
2023-02-07,1168.239990,1177.250000,1129.530029,1173.810059,1173.810059,820600
2023-02-08,1161.699951,1192.349976,1158.949951,1166.900024,1166.900024,376000
2023-02-09,1189.979980,1194.619995,1136.839966,1143.650024,1143.650024,330900
2023-02-10,1125.770020,1129.569946,1097.829956,1104.949951,1104.949951,400200
2023-02-13,1111.160034,1126.640015,1102.910034,1112.319946,1112.319946,288100
2023-02-14,1101.930054,1147.530029,1083.099976,1132.310059,1132.310059,389800
2023-02-15,1122.000000,1164.000000,1115.270020,1159.599976,1159.599976,338700
2023-02-16,1131.750000,1156.750000,1117.849976,1119.640015,1119.640015,394300
2023-02-17,1104.699951,1112.010010,1088.359985,1100.869995,1100.869995,427500
2023-02-21,1094.900024,1123.310059,1085.150024,1099.329956,1099.329956,656900
2023-02-22,1104.670044,1134.410034,1093.319946,1118.260010,1118.260010,683300
2023-02-23,1134.880005,1142.339966,1101.050049,1136.260010,1136.260010,720500
2023-02-24,1163.250000,1181.699951,1118.810059,1156.880005,1156.880005,1089900
2023-02-27,1172.839966,1192.160034,1153.369995,1182.989990,1182.989990,701600
2023-02-28,1191.989990,1223.050049,1186.180054,1220.000000,1220.000000,568700
2023-03-01,1220.849976,1225.000000,1190.209961,1208.719971,1208.719971,580400
2023-03-02,1195.000000,1223.040039,1188.000000,1218.520020,1218.520020,359600
2023-03-03,1226.479980,1227.969971,1203.229980,1226.739990,1226.739990,556800
2023-03-06,1233.000000,1273.859985,1218.829956,1256.260010,1256.260010,624100
2023-03-07,1260.959961,1268.329956,1236.130005,1264.910034,1264.910034,559600
2023-03-08,1264.719971,1265.000000,1230.319946,1252.569946,1252.569946,318100
2023-03-09,1243.770020,1268.000000,1196.260010,1201.790039,1201.790039,456000
2023-03-10,1193.000000,1201.140015,1143.619995,1168.040039,1168.040039,662000
2023-03-13,1152.780029,1180.670044,1124.020020,1162.329956,1162.329956,531400
2023-03-14,1193.300049,1216.280029,1179.160034,1214.959961,1214.959961,471400
